idcliente;nome;email;ncontribuinte;dataregisto
32;"David  Duarte  Pinheiro  Silva";6167@lojacomp.pt;530014106;"2017-02-21 00:00:00"
33;"Dina Márcia Monteiro Cordeiro";6168@lojacomp.pt;370143982;"2017-02-21 00:00:00"
34;"Arlindo  Sérgio  Conceição  Conceição";6169@lojacomp.pt;206193966;"2017-02-21 00:00:00"
35;"Bruna Alexandra  Rosa  Guerreiro";6170@lojacomp.pt;164058759;"2017-02-21 00:00:00"
36;"Tânia Cristina  Lopes  Silvério";6171@lojacomp.pt;241828089;"2017-02-21 00:00:00"
37;"Leonor Marta Monteiro Mendes";6172@lojacomp.pt;970575033;"2017-02-21 00:00:00"
38;"Francisco Hélio  Norte  Madeira";6173@lojacomp.pt;258454319;"2017-02-21 00:00:00"
39;"Sílvio Carlos  Lourenço  Jordão";6174@lojacomp.pt;911671586;"2017-02-21 00:00:00"
40;"Rodrigo  Duarte  Marques Gonçalves";6175@lojacomp.pt;300628262;"2017-02-21 00:00:00"
41;"Ana  Maria Silvério  Marques";6176@lojacomp.pt;874756400;"2017-02-21 00:00:00"
42;"Fernando Michael  Azevedo  Fonseca";6177@lojacomp.pt;545765974;"2017-02-21 00:00:00"
43;"Mário Pinheiro  Caiado";6178@lojacomp.pt;562741884;"2017-02-21 00:00:00"
44;"Dina Susana Matias  Brazão";6179@lojacomp.pt;498817720;"2017-02-21 00:00:00"
45;"Maria Anabela Oliveira  Pinheiro";6180@lojacomp.pt;879770603;"2017-02-21 00:00:00"
46;"Patrícia Anabela Carreira  Rebelo";6181@lojacomp.pt;302933099;"2017-02-21 00:00:00"
47;"Armindo  Valdemar  Santos  Pedrosa";6182@lojacomp.pt;507077135;"2017-02-21 00:00:00"
48;"Manuel  Luis  Morgado  Sebastião";6183@lojacomp.pt;276751684;"2017-02-21 00:00:00"
49;"Ricardo  Michael  Calado  Sebastião";6184@lojacomp.pt;314276923;"2017-02-21 00:00:00"
50;"Flávio  Egídio  Félix  Silvério";6185@lojacomp.pt;266559235;"2017-02-21 00:00:00"
51;"Vitor  Paulo Gonçalves  Cordeiro";6186@lojacomp.pt;332216723;"2017-02-21 00:00:00"
52;"Diana Dulce Fonseca  Sebastião";6187@lojacomp.pt;146140566;"2017-02-21 00:00:00"
53;"João Sílvio Oliveira  Félix  Faustino";6188@lojacomp.pt;151914949;"2017-02-21 00:00:00"
54;"João Alexandre  Sebastião  Calado";6189@lojacomp.pt;306059275;"2017-02-21 00:00:00"
55;"Francisco Renato  Simões  Rebocho";6190@lojacomp.pt;543475306;"2017-02-21 00:00:00"
56;"José Diana Domingues  Cardoso";6191@lojacomp.pt;549868043;"2017-02-21 00:00:00"
57;"Cecília  Sónia Alves  Madeira";6192@lojacomp.pt;452157213;"2017-02-21 00:00:00"
58;"Vitor  João Azevedo  Norte";6193@lojacomp.pt;466646443;"2017-02-21 00:00:00"
59;"Rodrigo  Cristiano Simões  Magalhães";6194@lojacomp.pt;654208163;"2017-02-21 00:00:00"
60;"Edgar  Duarte  Peres  Gonçalves";6195@lojacomp.pt;773479790;"2017-02-21 00:00:00"
61;"Maria Marta Brazão  Magalhães";6196@lojacomp.pt;505751122;"2017-02-21 00:00:00"
62;"Gisela Alexandra  Sousa  Fonseca";6197@lojacomp.pt;463434854;"2017-02-21 00:00:00"
63;"Hélder  Leonel  Conceição  Sebastião";6198@lojacomp.pt;508308910;"2017-02-21 00:00:00"
64;"Andreia Sónia Lucas  Nogueira";6199@lojacomp.pt;159718434;"2017-02-21 00:00:00"
65;"Ana  Maria Brazão  Simões";6200@lojacomp.pt;330525503;"2017-02-21 00:00:00"
66;"Claudia  Cecília  Mendes Vieira";6201@lojacomp.pt;193978581;"2017-02-21 00:00:00"
67;"Miguel  João Santos  Norte";6202@lojacomp.pt;417744272;"2017-02-21 00:00:00"
68;"Cecília  Bruna Brazão  Gonçalves";6203@lojacomp.pt;762101357;"2017-02-21 00:00:00"
69;"Nelson  Hélio  Faustino  Norte";6204@lojacomp.pt;668772962;"2017-02-21 00:00:00"
70;"Eduarda Filipa Conceição  Guerreiro";6205@lojacomp.pt;119672545;"2017-02-21 00:00:00"
71;"Valdemar  Renato  Brazão  Domingues";6206@lojacomp.pt;592781653;"2017-02-21 00:00:00"
72;"Bruna Eunice  Jesus  Zózimo";6207@lojacomp.pt;360535538;"2017-02-21 00:00:00"
73;"Nádia Marta Brazão  Mendes";6208@lojacomp.pt;861323644;"2017-02-21 00:00:00"
74;"Sónia Cecília  Monteiro Rebocho";6209@lojacomp.pt;376113618;"2017-02-21 00:00:00"
75;"Beatriz Catarina Zózimo  Mota";6210@lojacomp.pt;910177122;"2017-02-21 00:00:00"
76;"Susana Dulce Cordeiro  Jesus";6211@lojacomp.pt;601197167;"2017-02-21 00:00:00"
77;"Márcia Ribeiro  Silva";6212@lojacomp.pt;261786480;"2017-02-21 00:00:00"
78;"Ângelo  Daniel  Zózimo  Guinada";6213@lojacomp.pt;663911007;"2017-02-21 00:00:00"
79;"Mariana Olga Sebastião  Peres";6214@lojacomp.pt;908506148;"2017-02-21 00:00:00"
80;"Sónia Sílvia Alves  Rebocho";6215@lojacomp.pt;125729728;"2017-02-21 00:00:00"
81;"Cristiano Flávio  Guinada  Lourenço";6216@lojacomp.pt;957181176;"2017-02-21 00:00:00"
82;"Isabel  Dulce Anjos  Lucas";6217@lojacomp.pt;912518157;"2017-02-21 00:00:00"
83;"Nádia Sónia Ribeiro  Rodrigues";6218@lojacomp.pt;637788023;"2017-02-21 00:00:00"
84;"Nádia Isabel  Alves  Félix";6219@lojacomp.pt;558566917;"2017-02-21 00:00:00"
85;"Márcia Alexandra  Pinheiro  Vitorino";6220@lojacomp.pt;241449952;"2017-02-21 00:00:00"
86;"Eduardo  Duarte  Vieira  Peres";6221@lojacomp.pt;640384250;"2017-02-21 00:00:00"
87;"Bruno  Henrique  Fernandes  Sousa";6222@lojacomp.pt;110425094;"2017-02-21 00:00:00"
88;"Fátima Mónica  Magalhães  Ferreira  Vieira";6223@lojacomp.pt;358075034;"2017-02-21 00:00:00"
89;"Egídio  Leonel  Nogueira  Simões";6224@lojacomp.pt;668930922;"2017-02-21 00:00:00"
90;"Ricardo  Egídio  Calado  Reis";6225@lojacomp.pt;853605303;"2017-02-21 00:00:00"
91;"Filipe Bruno  Zózimo  Zózimo";6226@lojacomp.pt;660493522;"2017-02-21 00:00:00"
92;"Hugo  Duarte  Jesus  Guerreiro";6227@lojacomp.pt;661850222;"2017-02-21 00:00:00"
93;"Paulo Armindo  Mendes Sousa";6228@lojacomp.pt;262405902;"2017-02-21 00:00:00"
94;"Mariana Daniela Nascimento  Jordão";6229@lojacomp.pt;217677638;"2017-02-21 00:00:00"
95;"Claudia  Marisa Ribeiro  Monteiro";6230@lojacomp.pt;509224604;"2017-02-21 00:00:00"
96;"Luis  José Fonseca  Marques";6231@lojacomp.pt;834644245;"2017-02-21 00:00:00"
97;"Mariana Ana  Brazão  Magalhães";6232@lojacomp.pt;390119487;"2017-02-21 00:00:00"
98;"Miguel  Leonel  Pedrosa  Reis";6233@lojacomp.pt;312067634;"2017-02-21 00:00:00"
99;"Carla  Helena Lopes  Rosa";6234@lojacomp.pt;839017386;"2017-02-21 00:00:00"
100;"Eduarda Dina Santos  Marques";6235@lojacomp.pt;194222724;"2017-02-21 00:00:00"
101;"Flávio  Leonel  Martins  Jesus";6236@lojacomp.pt;246234603;"2017-02-21 00:00:00"
102;"Patrício Daniel  Matias  Peres";6237@lojacomp.pt;797160836;"2017-02-21 00:00:00"
103;"Mariana Olga Matias  Sebastião";6238@lojacomp.pt;343253960;"2017-02-21 00:00:00"
104;"David  Pedro Jesus  Silva";6239@lojacomp.pt;384402140;"2017-02-21 00:00:00"
105;"Pedro Flávio  Fernandes  Rebocho";6240@lojacomp.pt;797920077;"2017-02-21 00:00:00"
106;"Paulo Rebelo  Silvério";6241@lojacomp.pt;933288227;"2017-02-21 00:00:00"
107;"Mário Flávio  Oliveira  Francisco";6242@lojacomp.pt;638447772;"2017-02-21 00:00:00"
108;"Mira Manuel  Sousa  Anjos";6243@lojacomp.pt;537839404;"2017-02-21 00:00:00"
109;"Sílvio Mira Vitorino  Félix";6244@lojacomp.pt;710365914;"2017-02-21 00:00:00"
110;"Gustavo André  Marques Fonseca";6245@lojacomp.pt;582968835;"2017-02-21 00:00:00"
111;"Telmo  Sílvio Vitorino  Mota";6246@lojacomp.pt;307058552;"2017-02-21 00:00:00"
112;"Goreti  Teresa  Sousa  Ferreira";6247@lojacomp.pt;144410441;"2017-02-21 00:00:00"
113;"Bruna Lara Alves  Madeira";6248@lojacomp.pt;342904399;"2017-02-21 00:00:00"
114;"Vitor  Bruno  Marcos  Ribeiro";6249@lojacomp.pt;337400856;"2017-02-21 00:00:00"
115;"Carla  Andreia Gonçalves  Morgado";6250@lojacomp.pt;228350379;"2017-02-21 00:00:00"
116;"Goreti  Andreia Simões  Mota";6251@lojacomp.pt;475953255;"2017-02-21 00:00:00"
117;"Daniela Teresa  Monteiro Peres";6252@lojacomp.pt;668295151;"2017-02-21 00:00:00"
118;"Ângelo  Fernando Cordeiro  Ferreira";6253@lojacomp.pt;459390373;"2017-02-21 00:00:00"
119;"Alexandra  Nuno  Silva  Reis";6254@lojacomp.pt;329220259;"2017-02-21 00:00:00"
120;"Pedro Flávio  Santos  Silva";6255@lojacomp.pt;738917092;"2017-02-21 00:00:00"
121;"António  António  Anjos  Silvério";6256@lojacomp.pt;715735308;"2017-02-21 00:00:00"
122;"Maria Marta Rosa  Caiado";6257@lojacomp.pt;577833631;"2017-02-21 00:00:00"
123;"Ricardo  Rui Nogueira  Marques";6258@lojacomp.pt;854975107;"2017-02-21 00:00:00"
124;"Flávio  Hélio  Félix  Matias";6259@lojacomp.pt;731830929;"2017-02-21 00:00:00"
125;"Fernando Ricardo  Simões  Santos";6260@lojacomp.pt;928419687;"2017-02-21 00:00:00"
126;"Joana Alexandra  Guerreiro  Reis";6261@lojacomp.pt;726149119;"2017-02-21 00:00:00"
127;"Elias Eduardo  Francisco  Ribeiro";6262@lojacomp.pt;269318071;"2017-02-21 00:00:00"
128;"Renato  Miguel  Jordão  Pereira";6263@lojacomp.pt;149792233;"2017-02-21 00:00:00"
129;"Hugo  Cristiano Brazão  Conceição";6264@lojacomp.pt;821593985;"2017-02-21 00:00:00"
130;"Luis  Pedro Jordão  Reis";6265@lojacomp.pt;853349726;"2017-02-21 00:00:00"
131;"Alexandra  Susana Zózimo  Domingues";6266@lojacomp.pt;594467666;"2017-02-21 00:00:00"
132;"Elias Ângelo  Domingues  Vitorino";6267@lojacomp.pt;336976725;"2017-02-21 00:00:00"
133;"Filipe Marco  Jesus  Guerreiro";6268@lojacomp.pt;581039381;"2017-02-21 00:00:00"
134;"Rui Carlos  Gonçalves  Ferreira";6269@lojacomp.pt;969635430;"2017-02-21 00:00:00"
135;"Luísa Anabela Azevedo  Jordão";6270@lojacomp.pt;882569168;"2017-02-21 00:00:00"
136;"Marta Sandra  Brazão  Fonseca";6271@lojacomp.pt;463219645;"2017-02-21 00:00:00"
137;"Hélio  Hugo  Brazão  Pereira";6272@lojacomp.pt;280386744;"2017-02-21 00:00:00"
138;"Bruno  Rui Lourenço  Anjos";6273@lojacomp.pt;783242043;"2017-02-21 00:00:00"
139;"Rodrigo  Cristiano Vitorino  Jesus";6274@lojacomp.pt;799780791;"2017-02-21 00:00:00"
140;"Sandra  Helena Ferreira  Sebastião";6275@lojacomp.pt;408163984;"2017-02-21 00:00:00"
141;"Rute  Filipa Monteiro Marcos";6276@lojacomp.pt;938590201;"2017-02-21 00:00:00"
142;"Daniela Eugénia Zózimo  Martins";6277@lojacomp.pt;722095012;"2017-02-21 00:00:00"
143;"Leonel  Carlos  Rebocho  Ribeiro";6278@lojacomp.pt;294723255;"2017-02-21 00:00:00"
144;"Tânia Rosa Jordão  Gonçalves";6279@lojacomp.pt;859856844;"2017-02-21 00:00:00"
145;"Nádia Filipa Conceição  Ribeiro";6280@lojacomp.pt;224003673;"2017-02-21 00:00:00"
146;"Patrício Daniel  Francisco  Norte  Jesus";6281@lojacomp.pt;335176324;"2017-02-21 00:00:00"
147;"André  Domingues  Cardoso";6282@lojacomp.pt;784601955;"2017-02-21 00:00:00"
148;"Hugo  Nuno Magalhães  Peres";6283@lojacomp.pt;242452219;"2017-02-21 00:00:00"
149;"Alexandra  Inês Brazão  Oliveira";6284@lojacomp.pt;898132174;"2017-02-21 00:00:00"
150;"Duarte  Michael  Faustino  Matias";6285@lojacomp.pt;271297576;"2017-02-21 00:00:00"
151;"Ricardo  Gustavo Rebocho  Caiado";6286@lojacomp.pt;962237662;"2017-02-21 00:00:00"
152;"David  Duarte  Francisco  Rebelo";6287@lojacomp.pt;777316485;"2017-02-21 00:00:00"
153;"Cristiano Cristiano Faustino  Conceição";6288@lojacomp.pt;989254837;"2017-02-21 00:00:00"
154;"Elias Vitor  Ribeiro  Cordeiro";6289@lojacomp.pt;169630164;"2017-02-21 00:00:00"
155;"Henrique  Calado  Lourenço";6290@lojacomp.pt;141604989;"2017-02-21 00:00:00"
156;"Leonel  Rui Rebelo  Mendes";6291@lojacomp.pt;758464735;"2017-02-21 00:00:00"
157;"Duarte  Alexandre  Martins  Calado";6292@lojacomp.pt;110541595;"2017-02-21 00:00:00"
158;"Alexandra  Sílvia Fernandes  Rebocho";6293@lojacomp.pt;459715330;"2017-02-21 00:00:00"
159;"Sílvia Marisa Guinada  Francisco";6294@lojacomp.pt;712406192;"2017-02-21 00:00:00"
160;"Sónia Mariana Fernandes  Ferreira";6295@lojacomp.pt;553377576;"2017-02-21 00:00:00"
161;"Olga Sílvia Magalhães  Peres";6296@lojacomp.pt;857131040;"2017-02-21 00:00:00"
162;"Mário Duarte  Jesus  Fernandes";6297@lojacomp.pt;958137106;"2017-02-21 00:00:00"
163;"Renato  Miguel  Vieira  Martins";6298@lojacomp.pt;514835223;"2017-02-21 00:00:00"
164;"Duarte  Pedro Ferreira  Nascimento";6299@lojacomp.pt;767780936;"2017-02-21 00:00:00"
165;"Anabela Sílvia Simões  Marques";6300@lojacomp.pt;925079512;"2017-02-21 00:00:00"
166;"Leonel  Marco  Sousa  Marques";6301@lojacomp.pt;955998409;"2017-02-21 00:00:00"
167;"Eduardo  Nuno Caiado Monteiro";6302@lojacomp.pt;950206236;"2017-02-21 00:00:00"
168;"Dina Márcia Alves  Silvério";6303@lojacomp.pt;860220120;"2017-02-21 00:00:00"
169;"Flávio  Pedrosa  Guerreiro";6304@lojacomp.pt;507090794;"2017-02-21 00:00:00"
170;"Olga Leonor Rebocho  Madeira";6305@lojacomp.pt;556989305;"2017-02-21 00:00:00"
171;"Cecília  Eduarda Sousa  Norte";6306@lojacomp.pt;975566952;"2017-02-21 00:00:00"
172;"Ana  Eugénia Mendes Calado";6307@lojacomp.pt;483187425;"2017-02-21 00:00:00"
173;"Valdemar  Duarte  Monteiro Sousa";6308@lojacomp.pt;109037477;"2017-02-21 00:00:00"
174;"Márcia Susana Ferreira  Sebastião";6309@lojacomp.pt;181760514;"2017-02-21 00:00:00"
175;"Hélder  Telmo  Gonçalves  Cardoso";6310@lojacomp.pt;936405400;"2017-02-21 00:00:00"
176;"André  Cristiano Silvério  Silvério";6311@lojacomp.pt;388774304;"2017-02-21 00:00:00"
177;"Nelson  Fernando Azevedo  Fonseca";6312@lojacomp.pt;793481878;"2017-02-21 00:00:00"
178;"Sílvia Gisela Calado  Silvério";6313@lojacomp.pt;594435142;"2017-02-21 00:00:00"
179;"Sandra  Maria Conceição  Faustino";6314@lojacomp.pt;496089644;"2017-02-21 00:00:00"
180;"Patrícia Carla  Vieira  Vitorino";6315@lojacomp.pt;749344649;"2017-02-21 00:00:00"
181;"José Faustino  Nunes";6316@lojacomp.pt;695073653;"2017-02-21 00:00:00"
182;"Rosa Cristina  Ribeiro  Ferreira";6317@lojacomp.pt;283304718;"2017-02-21 00:00:00"
183;"Daniel  Marco  Nascimento  Jordão";6318@lojacomp.pt;691051851;"2017-02-21 00:00:00"
184;"Nelson  Marco  Madeira Lopes";6319@lojacomp.pt;114433156;"2017-02-21 00:00:00"
185;"Bruno  Tiago  Alves  Monteiro";6320@lojacomp.pt;535058280;"2017-02-21 00:00:00"
186;"Michael  António  Oliveira";6321@lojacomp.pt;964213809;"2017-02-21 00:00:00"
187;"Paulo Armindo  Lucas  Peres";6322@lojacomp.pt;190650409;"2017-02-21 00:00:00"
188;"Goreti  Elsa Nogueira  Pereira";6323@lojacomp.pt;160201973;"2017-02-21 00:00:00"
189;"Telmo  Pedro Rebocho  Oliveira";6324@lojacomp.pt;912006357;"2017-02-21 00:00:00"
190;"Ricardo  Filipe Silvério  Silvério";6325@lojacomp.pt;387148625;"2017-02-21 00:00:00"
191;"Elias Nelson  Rodrigues  Cardoso";6326@lojacomp.pt;252906488;"2017-02-21 00:00:00"
192;"Rui Eduardo  Rosa  Sebastião";6327@lojacomp.pt;135245495;"2017-02-21 00:00:00"
193;"Olga Gisela Zózimo  Brazão";6328@lojacomp.pt;552215172;"2017-02-21 00:00:00"
194;"Goreti  Márcia Silvério  Cordeiro";6329@lojacomp.pt;977902960;"2017-02-21 00:00:00"
195;"Luísa Inês Faustino  Vieira";6330@lojacomp.pt;796782430;"2017-02-21 00:00:00"
196;"Nancy Inês Zózimo  Carreira";6331@lojacomp.pt;353690721;"2017-02-21 00:00:00"
197;"Gisela Leonor Carreira  Lucas";6332@lojacomp.pt;790830597;"2017-02-21 00:00:00"
198;"Jonas  Manuel  Martins  Brazão";6333@lojacomp.pt;672114380;"2017-02-21 00:00:00"
199;"Cristina  Nancy Brazão  Fonseca";6334@lojacomp.pt;345317479;"2017-02-21 00:00:00"
200;"Mariana Luísa Norte  Pinheiro";6335@lojacomp.pt;321052759;"2017-02-21 00:00:00"
201;"Manuel  Luis  Jordão  Gonçalves";6336@lojacomp.pt;180580589;"2017-02-21 00:00:00"
202;"Sílvio Mira Nascimento  Mendes";6337@lojacomp.pt;174380785;"2017-02-21 00:00:00"
203;"Maria Andreia Reis";6338@lojacomp.pt;918109807;"2017-02-21 00:00:00"
204;"Sandra  Maria Santos  Pinheiro";6339@lojacomp.pt;131656980;"2017-02-21 00:00:00"
205;"Sónia Daniela Carreira  Zózimo";6340@lojacomp.pt;537610500;"2017-02-21 00:00:00"
206;"Catarina Ana  Sousa  Anjos";6341@lojacomp.pt;844364515;"2017-02-21 00:00:00"
207;"Goreti  Sílvia Marcos  Calado";6342@lojacomp.pt;602783814;"2017-02-21 00:00:00"
208;"Leonel  Marco  Pereira  Conceição";6343@lojacomp.pt;272496811;"2017-02-21 00:00:00"
209;"Edgar  Egídio  Lucas  Marcos";6344@lojacomp.pt;876225780;"2017-02-21 00:00:00"
210;"Pedro Luis  Nunes  Rebocho";6345@lojacomp.pt;400682218;"2017-02-21 00:00:00"
211;"Patrício Patrício Zózimo  Mendes";6346@lojacomp.pt;454821984;"2017-02-21 00:00:00"
212;"Pedro Sérgio  Calado  Reis";6347@lojacomp.pt;955053078;"2017-02-21 00:00:00"
213;"Bruno  Hugo  Francisco  Cordeiro";6348@lojacomp.pt;907494851;"2017-02-21 00:00:00"
214;"José Filipe Faustino  Jesus";6349@lojacomp.pt;925034937;"2017-02-21 00:00:00"
215;"Patrício Rodrigo  Cardoso  Pinheiro";6350@lojacomp.pt;453883342;"2017-02-21 00:00:00"
216;"Bruno  Rui Sebastião  Fernandes";6351@lojacomp.pt;418130941;"2017-02-21 00:00:00"
217;"Ricardo  Egídio  Alves  Zózimo";6352@lojacomp.pt;870857829;"2017-02-21 00:00:00"
218;"Nancy Olga Matias  Santos";6353@lojacomp.pt;286303948;"2017-02-21 00:00:00"
219;"Renato  Vitor  Peres  Brazão";6354@lojacomp.pt;924820466;"2017-02-21 00:00:00"
220;"Jorge António  Caiado Rosa";6355@lojacomp.pt;915066397;"2017-02-21 00:00:00"
221;"David  Daniel  Jesus  Ribeiro";6356@lojacomp.pt;643036205;"2017-02-21 00:00:00"
222;"Marta Nádia Pedrosa  Sebastião";6357@lojacomp.pt;963925474;"2017-02-21 00:00:00"
223;"Eduardo  Edgar  Rebocho  Martins";6358@lojacomp.pt;201407988;"2017-02-21 00:00:00"
224;"Alexandre  David  Alves  Nogueira";6359@lojacomp.pt;592887584;"2017-02-21 00:00:00"
225;"Ana  Carla  Peres  Vieira";6360@lojacomp.pt;809147916;"2017-02-21 00:00:00"
226;"Nádia Nádia Peres  Cordeiro";6361@lojacomp.pt;852892335;"2017-02-21 00:00:00"
227;"Cristiano Jonas  Rebocho  Azevedo";6362@lojacomp.pt;670289135;"2017-02-21 00:00:00"
228;"Hélder  Duarte  Gonçalves  Jordão";6363@lojacomp.pt;130358916;"2017-02-21 00:00:00"
229;"Elias Sérgio  Conceição  Faustino";6364@lojacomp.pt;937577506;"2017-02-21 00:00:00"
230;"Arlindo  Daniel  Félix  Cardoso";6365@lojacomp.pt;234205552;"2017-02-21 00:00:00"
231;"Flávio  José Marcos  Pereira";6366@lojacomp.pt;929853097;"2017-02-21 00:00:00"
232;"Claudia  Márcia Lopes  Guinada";6367@lojacomp.pt;415038773;"2017-02-21 00:00:00"
233;"Armindo  Valdemar  Magalhães  Rebelo";6368@lojacomp.pt;596867307;"2017-02-21 00:00:00"
234;"Elias João Pereira  Fernandes";6369@lojacomp.pt;122665217;"2017-02-21 00:00:00"
235;"Leandro  Carlos  Ribeiro  Cordeiro";6370@lojacomp.pt;929477700;"2017-02-21 00:00:00"
236;"Sérgio  Peres  Matias";6371@lojacomp.pt;525975791;"2017-02-21 00:00:00"
237;"Inês Marta Ferreira  Alves";6372@lojacomp.pt;341510667;"2017-02-21 00:00:00"
238;"Jorge Félix  Santos";6373@lojacomp.pt;165280380;"2017-02-21 00:00:00"
239;"Mário Armindo  Magalhães  Pereira";6374@lojacomp.pt;610547103;"2017-02-21 00:00:00"
240;"Vitor  Pedro Norte  Oliveira";6375@lojacomp.pt;875207041;"2017-02-21 00:00:00"
241;"Flávio  Marco  Anjos  Rosa";6376@lojacomp.pt;429079633;"2017-02-21 00:00:00"
242;"Dina Susana Lopes  Santos";6377@lojacomp.pt;726701939;"2017-02-21 00:00:00"
243;"Nádia Inês Rosa  Monteiro";6378@lojacomp.pt;775407546;"2017-02-21 00:00:00"
244;"Mário Arlindo  Carreira  Oliveira";6379@lojacomp.pt;545117121;"2017-02-21 00:00:00"
245;"Michael  António  Mendes Guerreiro  Ferreira";6380@lojacomp.pt;115888157;"2017-02-21 00:00:00"
246;"Miguel  Sílvio Jesus  Ribeiro";6381@lojacomp.pt;827704911;"2017-02-21 00:00:00"
247;"Hélder  Henrique  Matias  Cardoso";6382@lojacomp.pt;349586622;"2017-02-21 00:00:00"
248;"Duarte  Leonel  Nascimento  Ferreira";6383@lojacomp.pt;356428361;"2017-02-21 00:00:00"
249;"Cristiano Carlos  Cordeiro  Ferreira";6384@lojacomp.pt;284020116;"2017-02-21 00:00:00"
250;"Patrícia Helena Pereira  Monteiro";6385@lojacomp.pt;188289199;"2017-02-21 00:00:00"
251;"André  Flávio  Rosa  Francisco";6386@lojacomp.pt;637642576;"2017-02-21 00:00:00"
252;"Fernando António  Pedrosa";6387@lojacomp.pt;972577831;"2017-02-21 00:00:00"
253;"Edgar  André  Rebelo  Zózimo";6388@lojacomp.pt;706203194;"2017-02-21 00:00:00"
254;"Catarina Carla  Lourenço  Fernandes";6389@lojacomp.pt;901064168;"2017-02-21 00:00:00"
255;"Alexandra  Teresa  Sebastião  Fonseca";6390@lojacomp.pt;925804282;"2017-02-21 00:00:00"
256;"Maria Inês Brazão  Fonseca";6391@lojacomp.pt;532662800;"2017-02-21 00:00:00"
257;"Tiago  Mário Francisco  Nunes";6392@lojacomp.pt;716612739;"2017-02-21 00:00:00"
258;"Patrícia Marisa Cardoso  Guinada";6393@lojacomp.pt;384685586;"2017-02-21 00:00:00"
259;"Jonas  António  Jordão  Jesus";6394@lojacomp.pt;295285023;"2017-02-21 00:00:00"
260;"Gisela Alexandra  Fernandes  Azevedo";6395@lojacomp.pt;373743142;"2017-02-21 00:00:00"
261;"Arlindo  Eduardo  Rosa  Cardoso";6396@lojacomp.pt;220513561;"2017-02-21 00:00:00"
262;"Patrício Edgar  Faustino  Sebastião";6397@lojacomp.pt;893493972;"2017-02-21 00:00:00"
263;"Rui Carlos  Rebelo  Reis";6398@lojacomp.pt;235264253;"2017-02-21 00:00:00"
